"Min,Max,Modal Price from Gujarat,Ahmedabad[Cabbage] from 01-Sep-2024To30-Sep-2024 (Total-19) (Total-19)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,400,1500,1100,02-Sep-24
2,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,500,1800,1350,06-Sep-24
3,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,700,1600,1150,12-Sep-24
4,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,800,2000,1400,03-Sep-24
5,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,1800,1400,13-Sep-24
6,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2000,1400,27-Sep-24
7,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2000,1500,11-Sep-24
8,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2000,1550,04-Sep-24
9,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2000,1700,28-Sep-24
10,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2200,1700,19-Sep-24
11,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1000,2200,1800,25-Sep-24
12,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1200,2000,1700,05-Sep-24
13,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1200,2250,2150,18-Sep-24
14,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1200,2300,1800,21-Sep-24
15,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1200,2400,1900,30-Sep-24
16,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1300,2200,1950,20-Sep-24
17,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1400,2200,1900,26-Sep-24
18,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1500,2300,1850,23-Sep-24
19,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,1800,2500,2250,17-Sep-24
